id,type,citycode,adname,alias,tel,entr_location,address,adcode,pname,biz_type,cityname,name,location,biz_ext.cost,biz_ext.rating,lng,lat,lng84,lat84
B001B0I4K0,风景名胜;风景名胜;国家级景点,27,武昌区,黄鹤楼公园-黄鹤楼,027-88875096,"114.307645,30.542567",蛇山西山坡特1号,420106,湖北省,tour,武汉市,黄鹤楼,"114.302467,30.544649",70,4.9,114.302467,30.544649,114.2970304,30.54708106
B001B0A0CK,风景名胜;风景名胜;国家级景点,27,武昌区,东湖风景区,027-86773706;027-86701000,"114.376453,30.577273",沿湖大道16号,420106,湖北省,tour,武汉市,东湖生态旅游风景区,"114.395061,30.567641",[],5,114.395061,30.567641,114.3895141,30.56992725
B0FFG83RE8,风景名胜;风景名胜;国家级景点,27,~口区,[],027-65023975,"114.225544,30.621906",金山大道和金南二路交汇处,420104,湖北省,tour,武汉市,武汉园博园,"114.218672,30.623063",60,4.9,114.218672,30.623063,114.2132097,30.6254963
B0FFFQLIK2,风景名胜;风景名胜;国家级景点,27,蔡甸区,[],027-69303030,"113.954608,30.471487",104省道西边(炉房村旁边),420114,湖北省,tour,武汉市,九真山风景区,"113.955080,30.481049",60,4.8,113.95508,30.481049,113.9495977,30.48367692
B001B1CE1H,风景名胜;风景名胜;国家级景点,27,黄陂区,[],027-61105500,"114.375707,31.106935",胜景大道77号,420116,湖北省,tour,武汉市,黄陂木兰文化生态旅游区,"114.348882,31.079535",80,4.9,114.348882,31.079535,114.3433264,31.08160528
B02CA00R6V,风景名胜;风景名胜;国家级景点,714,铁山区,黄石矿山公园,0714-5416977;0714-5433321,"114.918824,30.198949",东方大道2号,420205,湖北省,tour,黄石市,黄石国家矿山公园,"114.918678,30.207061",20,4.8,114.918678,30.207061,114.9136428,30.20977248
B02CA005DT,风景名胜;风景名胜;国家级景点,714,下陆区,[],0714-3189692,"114.944654,30.193542",东方山风景区内,420204,湖北省,tour,黄石市,东方山风景区,"114.950410,30.204067",25,4.8,114.95041,30.204067,114.9453175,30.2067328
B02C7006MJ,风景名胜;风景名胜;国家级景点,711,鄂城区,[],0711-3859880;0711-3866388,"114.896368,30.380423",凤凰路76号,420704,湖北省,tour,鄂州市,莲花山,"114.899713,30.380065",[],4.7,114.899713,30.380065,114.8946735,30.38276391
B02C90OEVE,风景名胜;风景名胜;国家级景点,713,黄州区,[],0713-8352861;0713-8358454,"114.867808,30.450736",黄州城栖霞路赤壁桥旁,421102,湖北省,tour,黄冈市,东坡赤壁,"114.869211,30.454192",40,4.7,114.869211,30.454192,114.8641446,30.45685373
B0FFFRUZ93,风景名胜;风景名胜;国家级景点,712,孝南区,[],0712-2999666,"113.94519,31.011981",朋兴乡长丰村一组,420902,湖北省,tour,孝感市,金卉庄园,"113.950075,31.008295",1,4.7,113.950075,31.008295,113.9445554,31.01067874
B02CA005C9,风景名胜;风景名胜;国家级景点,714,大冶市,[],0714-8992488,"114.791302,30.033953",陈贵镇小雷山村,420281,湖北省,tour,黄石市,雷山风景名胜区,"114.801911,30.035972",40,4.8,114.801911,30.035972,114.7967517,30.03855598
B02CA00JMI,风景名胜;风景名胜;国家级景点,714,下陆区,[],[],"115.058468,30.205903",杭州东路36号,420204,湖北省,tour,黄石市,团城山公园(暂停开放),"115.059677,30.207687",[],4.8,115.059677,30.207687,115.0542341,30.21006491
B02C8000FH,风景名胜;风景名胜;国家级景点,712,孝昌县,双峰山度假区,[],"114.173897,31.159735",丰山镇和周巷镇之间,420921,湖北省,tour,孝感市,孝感市双峰山旅游度假区,"114.205823,31.179178",38,4.7,114.205823,31.179178,114.2002838,31.18129522
B001B0K60S,风景名胜;风景名胜;国家级景点,27,黄陂区,武汉市木兰清凉寨风景区,027-61539008;4001046188,"114.223442,31.28852",蔡店街道西北部,420116,湖北省,tour,武汉市,清凉寨景区,"114.216036,31.298481",80,4.7,114.216036,31.298481,114.210509,31.30055847
B0FFL2XN05,风景名胜;风景名胜;国家级景点,715,嘉鱼县,[],0715-6717999,"113.963132,29.922858",田野大道,421221,湖北省,tour,咸宁市,田野乡村公园,"113.962837,29.923223",[],4.5,113.962837,29.923223,113.9573872,29.92587843
B0FFFWH6AT,风景名胜;风景名胜;国家级景点,27,黄陂区,[],027-61593666;027-61593888,"114.194954,31.249478",蔡店街道姚家山村1号,420116,湖北省,tour,武汉市,武汉姚家山风景区,"114.199235,31.254009",33,4.6,114.199235,31.254009,114.1936727,31.25608117
B02CA0MH7V,风景名胜;风景名胜;国家级景点,714,阳新县,仙岛湖景区,0714-7636868;0714-7686566;0714-7687888,"114.8325,29.799598",王英镇,420222,湖北省,tour,黄石市,仙岛湖生态旅游风景区,"114.832728,29.799458",148,4.9,114.832728,29.799458,114.82765,29.8021069
B02C800MMJ,风景名胜;风景名胜;国家级景点,712,孝昌县,[],0712-4856368,"114.127406,31.339572",小悟乡境内,420921,湖北省,tour,孝感市,观音湖风景区,"114.162047,31.331981",[],4.7,114.162047,31.331981,114.1563722,31.33395516
B0FFG2WWCJ,风景名胜;风景名胜;国家级景点,717,夷陵区,三峡大坝景区,0717-6763498,"111.053462,30.834345",江峡大道,420506,湖北省,tour,宜昌市,三峡大坝旅游区,"111.037958,30.828051",[],4.9,111.037958,30.828051,111.0323997,30.83034008
B02CB0NVEU,风景名胜;风景名胜;国家级景点,715,赤壁市,[],0715-5048777;0715-5048788;0715-5048888,"113.82834,29.679441",凤凰山赤壁大道774号,421281,湖北省,tour,咸宁市,龙佑赤壁温泉度假区,"113.840650,29.673586",38,4.9,113.84065,29.673586,113.8351462,29.67628375
B02CF00632,风景名胜;风景名胜;国家级景点,719,丹江口市,武当山景区,0719-5665396;0719-5665571;0719-5668567,"111.096098,32.505852",武当山旅游经济特区金街1号,420381,湖北省,tour,十堰市,武当山风景区,"111.064339,32.462143",45,4.9,111.064339,32.462143,111.0585506,32.46417154
B02C9001BE,风景名胜;风景名胜;国家级景点,713,红安县,[],0713-5243390,"114.624677,31.288838",陵园大道1号,421122,湖北省,tour,黄冈市,黄麻起义和鄂豫皖苏区革命烈士陵园,"114.626250,31.292766",[],4.7,114.62625,31.292766,114.6211211,31.29502934
B02C6025OT,风景名胜;风景名胜;国家级景点,710,襄城区,[],0710-3592387;0710-3775067,"112.034388,32.013504",隆中路461-1号,420602,湖北省,tour,襄阳市,古隆中,"112.030786,31.991004",50,4.8,112.030786,31.991004,112.0247874,31.99304168
B02CE0P84E,风景名胜;风景名胜;国家级景点,718,恩施市,[],0718-8027119;0718-8306086,"109.502452,30.269168",金龙大道东侧,422801,湖北省,tour,恩施土家族苗族自治州,土家女儿城,"109.503638,30.268750",[],4.8,109.503638,30.26875,109.4988172,30.27136571
B02CD01U6K,风景名胜;风景名胜;国家级景点,717,夷陵区,三峡人家景区,0717-8850588,"111.19432,30.810885",三峡人家王家坪停车场,420506,湖北省,tour,宜昌市,三峡人家风景区(暂停开放),"111.164586,30.794847",180,4.8,111.164586,30.794847,111.1589169,30.79715165
B02CD02EMJ,风景名胜;风景名胜;国家级景点,717,长阳土家族自治县,清江画廊,0717-5335806,"111.137363,30.467837",土家风情街附近,420528,湖北省,tour,宜昌市,清江画廊旅游度假区,"111.138347,30.466625",145,4.8,111.138347,30.466625,111.1326765,30.46902037
B02CE02V2J,风景名胜;风景名胜;国家级景点,718,恩施市,[],0718-8542333,"109.194396,30.403198",屯堡乡和板桥镇沐抚村,422801,湖北省,tour,恩施土家族苗族自治州,恩施大峡谷,"109.178058,30.426584",200,4.9,109.178058,30.426584,109.173273,30.42908753
B02CD0Q5Q0,风景名胜;风景名胜;国家级景点,717,夷陵区,三峡瀑布|白果树瀑布,0717-6452417,"111.326351,30.923829",黄花镇新坪村3组,420506,湖北省,tour,宜昌市,三峡大瀑布(暂停开放),"111.317242,30.939440",98,4.7,111.317242,30.93944,111.311482,30.94169468
B0FFGO52MN,风景名胜;风景名胜;国家级景点|风景名胜;公园广场;公园,722,曾都区,玉龙千年银杏谷,[],"113.304446,31.430992",洛阳镇永兴村六组,421303,湖北省,tour,随州市,中国千年银杏谷景区(装修中),"113.304237,31.430962",29,4.8,113.304237,31.430962,113.298191,31.43298231
B0FFGDVF2Q,风景名胜;风景名胜;国家级景点,713,罗田县,[],0713-5822333;0713-5826088,"115.73481,31.097746",九资河镇309县道,421123,湖北省,tour,黄冈市,罗田天堂寨,"115.757425,31.103330",108,4.8,115.757425,31.10333,115.7521149,31.10549982
B02CB00553,风景名胜;风景名胜;国家级景点,715,赤壁市,[],0715-5788888,"113.636978,29.875627",赤壁镇武侯巷6号,421281,湖北省,tour,咸宁市,三国赤壁古战场,"113.630759,29.878782",150,4.8,113.630759,29.878782,113.6251669,29.88150172
B0FFF4HBPZ,风景名胜;风景名胜;国家级景点,717,秭归县,[],15717895513;0717-2886198;15717895515,"110.984987,30.824375",平湖大道,420527,湖北省,tour,宜昌市,屈原故里,"110.988428,30.826058",80,4.8,110.988428,30.826058,110.9830802,30.82849098
B02CE00USF,风景名胜;风景名胜;国家级景点,718,利川市,[],0718-7262455,"108.959527,30.301285",腾龙大道1号,422802,湖北省,tour,恩施土家族苗族自治州,腾龙洞,"108.991410,30.333284",170,4.8,108.99141,30.333284,108.9868755,30.33591495
B0FFKAYBE7,风景名胜;风景名胜;国家级景点,710,襄城区,[],[],"112.147481,32.022897",滨江大道北街128号,420602,湖北省,tour,襄阳市,襄阳古城,"112.154387,32.018497",50,4.8,112.154387,32.018497,112.1483653,32.02050151
B02CB00NLQ,风景名胜;风景名胜;国家级景点,715,通山县,九宫山景区,0715-2065555;0715-2503666,"114.710631,29.451701",八一路368号,421224,湖北省,tour,咸宁市,九宫山风景名胜区,"114.656806,29.399914",75,4.9,114.656806,29.399914,114.6517835,29.40271247
B02CC01V6N,风景名胜;风景名胜;国家级景点,716,荆州区,[],0716-8468124;0716-8450389,"112.218778,30.353343",东环路118号,421003,湖北省,tour,荆州市,荆州古城历史文化旅游区,"112.217369,30.350363",[],4.9,112.217369,30.350363,112.2116337,30.35290024
B02CD02BRC,风景名胜;风景名胜;国家级景点,717,夷陵区,[],0717-7971111,"111.517612,30.93018",分乡镇百里荒,420506,湖北省,tour,宜昌市,百里荒风景区(暂停开放),"111.518765,30.946197",118,4.7,111.518765,30.946197,111.5130468,30.94857433
B02CB00PW2,风景名胜;风景名胜;国家级景点,715,通山县,通山隐水洞地质公园,0715-2750888;12301,"114.63713,29.660489",大畈镇,421224,湖北省,tour,咸宁市,湖北通山隐水洞地质公园,"114.621917,29.652503",105,4.8,114.621917,29.652503,114.6169281,29.65525064
B0FFGJRHYE,风景名胜;风景名胜;国家级景点,718,巴东县,神农溪旅游区,0718-4330000;0718-4334848,"110.329721,31.037837",官渡口镇太矶头神龙大道,422823,湖北省,tour,恩施土家族苗族自治州,神农溪景区,"110.318062,31.091368",[],4.9,110.318062,31.091368,110.3130075,31.09354879
B02CF012EC,风景名胜;风景名胜;国家级景点,719,郧西县,[],[],"110.042802,33.137569",上津镇,420322,湖北省,tour,十堰市,上津古城,"110.044818,33.136727",[],4.8,110.044818,33.136727,110.0395644,33.1384598
B02C6006DB,风景名胜;风景名胜;国家级景点,710,保康县,[],0710-5760071,"111.229609,31.729802",后坪镇后坪村,420626,湖北省,tour,襄阳市,保康五道峡风景区,"111.194939,31.719608",100,4.7,111.194939,31.719608,111.1892286,31.72164317
B02D2005ED,风景名胜;风景名胜;国家级景点,722,随县,[],0722-4833333,"112.976662,31.532851",长岗镇,421321,湖北省,tour,随州市,大洪山风景名胜区,"112.978039,31.472892",[],4.8,112.978039,31.472892,112.9721962,31.47502418
B02CD041A1,风景名胜;风景名胜;国家级景点,717,夷陵区,三游洞景区|摩崖洞,0717-8862161;0717-8861722,"111.265115,30.765783",南津关,420506,湖北省,tour,宜昌市,西陵峡风景名胜区三游洞(暂停开放),"111.266692,30.765098",65,4.6,111.266692,30.765098,111.2610627,30.7675198
B02CD040R2,风景名胜;风景名胜;国家级景点,717,V亭区,[],18694090999,"111.402843,30.575779",V亭大道6号,420505,湖北省,tour,宜昌市,V亭古战场风景区,"111.402969,30.573476",60,4.7,111.402969,30.573476,111.3970588,30.57580208
B02CB003S7,风景名胜;风景名胜;国家级景点,715,赤壁市,陆水湖景区,0715-5903999,"113.898098,29.695445",陆水湖大道646号,421281,湖北省,tour,咸宁市,陆水湖国家级风景区,"113.947486,29.695155",100,4.7,113.947486,29.695155,113.9420829,29.69786834
B02C900BCB,风景名胜;风景名胜;国家级景点,713,麻城市,[],0713-2958138,"115.020269,31.18019",麻城博物馆旁,421181,湖北省,tour,黄冈市,麻城烈士陵园,"115.018845,31.180759",[],4.3,115.018845,31.180759,115.0134369,31.18284204
B0FFG7TOVD,风景名胜;风景名胜;国家级景点|科教文化服务;博物馆;博物馆,716,荆州区,熊家冢遗址博物馆,0716-8886999,"112.016006,30.609982",川店镇张场村,421003,湖北省,tour,荆州市,楚王车马阵景区,"112.013563,30.612767",60,4.7,112.013563,30.612767,112.0077427,30.61521367
B02C60PJTS,风景名胜;风景名胜;国家级景点,710,南漳县,春秋寨景区,0710-5515672,"111.887185,31.368326",东巩镇陆坪村,420624,湖北省,tour,襄阳市,襄阳春秋寨景区,"111.880684,31.369852",50,4.6,111.880684,31.369852,111.8750279,31.37213649
B0FFI2DYAG,风景名胜;风景名胜;国家级景点,715,崇阳县,[],18727804396,"114.10376,29.352038",柃蜜小镇白崖山景区,421223,湖北省,tour,咸宁市,柃蜜小镇・白崖山景区,"114.101471,29.348356",98,4.7,114.101471,29.348356,114.0958426,29.35088464
B0FFHSSHSR,风景名胜;风景名胜;国家级景点,710,保康县,[],0710-5015568,"111.149237,31.524586",歇马镇西南边陲,420626,湖北省,tour,襄阳市,保康三特九路寨生态旅游区,"111.148793,31.525103",100,4.5,111.148793,31.525103,111.1430405,31.527054
B02CE005L9,风景名胜;风景名胜;国家级景点,718,恩施市,土司城,0718-8458166,"109.474279,30.302059",土司路138号,422801,湖北省,tour,恩施土家族苗族自治州,恩施土司城,"109.472098,30.301061",45,4.8,109.472098,30.301061,109.4671787,30.30358173
B02C80NACS,风景名胜;风景名胜;国家级景点,712,安陆市,[],[],"113.34922,31.372248",钱冲村(靠近银子湾村),420982,湖北省,tour,孝感市,钱冲古银杏国家森林公园,"113.347141,31.395217",[],4.7,113.347141,31.395217,113.3410058,31.3971669
B02C902I7T,风景名胜;风景名胜;国家级景点,713,麻城市,[],0713-2938028,"115.022138,31.223985",仙姑路与002乡道交叉口西南150米,421181,湖北省,tour,黄冈市,湖北五脑山国家森林公园,"115.001012,31.218411",[],4.7,115.001012,31.218411,114.9956657,31.22052909
B02CC01S35,风景名胜;风景名胜;国家级景点,716,洪湖市,[],0716-2742799,"113.203256,29.929664",瞿家湾镇瞿家湾唐城大道,421083,湖北省,tour,荆州市,洪湖生态旅游风景区(暂停开放),"113.213456,29.925537",80,4.7,113.213456,29.925537,113.2075868,29.92807306
B02CD02EMS,风景名胜;风景名胜;国家级景点,717,五峰土家族自治县,大湾口景区|柴埠溪国家森林公园,0717-5759593;0717-5829888,"110.917134,30.214667",渔洋关镇曹家坪,420529,湖北省,tour,宜昌市,柴埠溪大峡谷风景区(暂停开放),"110.947035,30.219161",47,4.6,110.947035,30.219161,110.9418964,30.22188903
B0FFIOBF6U,风景名胜;风景名胜;国家级景点|生活服务;洗浴推拿场所;洗浴推拿场所,715,咸安区,[],0715-8199999,"114.32275,29.819086",月亮湾路特1号,421202,湖北省,tour,咸宁市,万豪温泉谷,"114.321426,29.819183",166,4.5,114.321426,29.819183,114.3160231,29.82165233
B02C900BCS,风景名胜;风景名胜;国家级景点,713,麻城市,[],0713-2880001,"115.230884,31.14314",龟山镇,421181,湖北省,tour,黄冈市,龟峰山景区(暂停开放),"115.227902,31.091207",38,4.7,115.227902,31.091207,115.2225186,31.09338117
B02D401ILP,风景名胜;风景名胜;国家级景点,724,钟祥市,[],0724-4382222,"112.955893,31.413126",大洪山风景区内,420881,湖北省,tour,荆门市,黄仙洞景区(暂停开放),"112.970499,31.409064",60,4.6,112.970499,31.409064,112.9646888,31.41123101
B02D20O377,风景名胜;风景名胜;国家级景点,722,随县,[],0722-4828888;0722-4828588,"112.868211,31.614443",洪山镇温泉村,421321,湖北省,tour,随州市,西游记公园(暂停开放),"112.865874,31.617250",89,4.7,112.865874,31.61725,112.8601661,31.61946501
B02D400BHI,风景名胜;风景名胜;国家级景点|风景名胜;风景名胜;省级景点,724,京山市,太子山国家森林公园|太子小镇|王莽洞风景区,0724-7461219,"112.90398,30.918838",石龙镇太子山,420882,湖北省,tour,荆门市,太子山生态旅游区(暂停开放),"112.927692,30.930543",50,4.6,112.927692,30.930543,112.9220377,30.9330234
